Epoch 1, loss 4.19, acc 0.24 0.3103, time 3.71
Epoch 119, loss 0.37, acc 0.92 0.7994, time 4.55
Epoch 120, loss 0.39, acc 0.94 0.7950, time 4.35
Epoch 121, loss 0.40, acc 0.92 0.7983, time 4.47
Epoch 122, loss 0.42, acc 0.91 0.7965, time 4.24
Epoch 123, loss 0.52, acc 0.85 0.7983, time 4.47
Epoch 124, loss 0.42, acc 0.88 0.7976, time 4.41
Epoch 125, loss 0.37, acc 0.95 0.7994, time 4.53
Epoch 126, loss 0.36, acc 0.95 0.7990, time 4.66
Epoch 127, loss 0.44, acc 0.87 0.7994, time 4.46
Epoch 128, loss 0.47, acc 0.87 0.8001, time 4.37
Epoch 129, loss 0.42, acc 0.90 0.8005, time 4.47
Epoch 130, loss 0.52, acc 0.85 0.7954, time 4.29
Epoch 131, loss 0.43, acc 0.89 0.8005, time 4.44
Epoch 132, loss 0.44, acc 0.89 0.7965, time 4.60
Epoch 133, loss 0.44, acc 0.91 0.7994, time 4.45
Epoch 134, loss 0.45, acc 0.89 0.8016, time 4.49
Epoch 135, loss 0.36, acc 0.94 0.8035, time 4.53
Epoch 136, loss 0.36, acc 0.94 0.8016, time 4.59
Epoch 137, loss 0.44, acc 0.92 0.8024, time 4.55
Epoch 138, loss 0.38, acc 0.89 0.8024, time 4.30
Epoch 139, loss 0.29, acc 0.97 0.8031, time 4.42
Epoch 140, loss 0.44, acc 0.87 0.8038, time 4.35
Epoch 141, loss 0.41, acc 0.92 0.8013, time 4.71
Epoch 142, loss 0.29, acc 0.96 0.8035, time 4.54
Epoch 143, loss 0.35, acc 0.94 0.8027, time 4.25
Epoch 144, loss 0.37, acc 0.91 0.7990, time 4.68
Epoch 145, loss 0.41, acc 0.93 0.8001, time 4.47
Epoch 146, loss 0.43, acc 0.90 0.8024, time 4.15
Epoch 147, loss 0.44, acc 0.92 0.7994, time 3.82
Epoch 148, loss 0.37, acc 0.90 0.7983, time 3.59
Epoch 149, loss 0.36, acc 0.94 0.8013, time 3.97
Epoch 150, loss 0.45, acc 0.86 0.8009, time 3.95
Epoch 151, loss 0.44, acc 0.90 0.8035, time 4.16
Epoch 152, loss 0.39, acc 0.91 0.8013, time 4.01
Epoch 153, loss 0.33, acc 0.97 0.8027, time 3.77
Epoch 154, loss 0.33, acc 0.93 0.8024, time 3.67
Epoch 155, loss 0.38, acc 0.93 0.7976, time 3.91
Epoch 156, loss 0.35, acc 0.92 0.8027, time 3.80
Epoch 157, loss 0.42, acc 0.90 0.7990, time 3.82
Epoch 158, loss 0.35, acc 0.93 0.7990, time 3.68
Epoch 159, loss 0.31, acc 0.97 0.7983, time 3.74
Epoch 160, loss 0.41, acc 0.89 0.7994, time 3.88
Epoch 161, loss 0.42, acc 0.88 0.8005, time 3.84
Epoch 162, loss 0.44, acc 0.87 0.7990, time 3.82
Epoch 163, loss 0.39, acc 0.92 0.8009, time 3.86
Epoch 164, loss 0.35, acc 0.92 0.7983, time 3.74
Epoch 165, loss 0.46, acc 0.87 0.7983, time 3.79
Epoch 166, loss 0.41, acc 0.89 0.7976, time 3.79
Epoch 167, loss 0.32, acc 0.94 0.7990, time 3.83
Epoch 168, loss 0.41, acc 0.89 0.8005, time 3.84
Epoch 169, loss 0.33, acc 0.94 0.7998, time 3.70
Epoch 170, loss 0.39, acc 0.87 0.8031, time 3.74
Epoch 171, loss 0.34, acc 0.96 0.7994, time 3.73
Epoch 172, loss 0.46, acc 0.89 0.7998, time 3.75
Epoch 173, loss 0.30, acc 0.96 0.8016, time 3.79
Epoch 174, loss 0.40, acc 0.93 0.8031, time 3.77
Epoch 175, loss 0.30, acc 0.94 0.8024, time 3.74
Epoch 176, loss 0.35, acc 0.94 0.8049, time 3.96
Epoch 177, loss 0.34, acc 0.94 0.7987, time 3.92
Epoch 178, loss 0.29, acc 0.95 0.8057, time 3.83
Epoch 179, loss 0.36, acc 0.91 0.8009, time 3.89
Epoch 180, loss 0.37, acc 0.92 0.8013, time 3.76
Epoch 181, loss 0.42, acc 0.90 0.8005, time 3.84
Epoch 182, loss 0.33, acc 0.95 0.7998, time 3.68
Epoch 183, loss 0.42, acc 0.91 0.7998, time 3.83
Epoch 184, loss 0.28, acc 0.97 0.8024, time 3.57
Epoch 185, loss 0.32, acc 0.94 0.8024, time 3.66
Epoch 186, loss 0.32, acc 0.93 0.8016, time 3.72
Epoch 187, loss 0.43, acc 0.89 0.8049, time 3.70
Epoch 188, loss 0.35, acc 0.92 0.8042, time 3.81
Epoch 189, loss 0.35, acc 0.96 0.8035, time 3.75
Epoch 190, loss 0.36, acc 0.92 0.8020, time 3.82
Epoch 191, loss 0.30, acc 0.92 0.8013, time 3.61
Epoch 192, loss 0.33, acc 0.92 0.8009, time 3.88
Epoch 193, loss 0.28, acc 0.96 0.8016, time 3.88
Epoch 194, loss 0.40, acc 0.92 0.8027, time 3.66
Epoch 195, loss 0.39, acc 0.90 0.8024, time 3.80
Epoch 196, loss 0.39, acc 0.89 0.7983, time 3.81
Epoch 197, loss 0.43, acc 0.87 0.8016, time 3.75
Epoch 198, loss 0.35, acc 0.91 0.7994, time 3.89
Epoch 199, loss 0.28, acc 0.95 0.7983, time 3.78
Epoch 200, loss 0.40, acc 0.91 0.8009, time 3.76
Done training, best_step: 14240, best_acc: 0.8057
duration: 0.24 hours

<<< The official score is (9+1)-way evaluation with directionality taken
 into account: macro-averaged F1 = 84.25% >>>

 
Done training, best_step: 9360, best_acc: 0.7946

<<< The official score is (9+1)-way evaluation with directionality taken 
into account: macro-averaged F1 = 83.62% >>>








!!!WARNING!!! The proposed file contains 1 label(s) of type 'Entity-Destination(e2,e1)', which is NOT present in the key file.

<<< (2*9+1)-WAY EVALUATION (USING DIRECTIONALITY)>>>:

Confusion matrix:
        C-E1 C-E2 C-W1 C-W2 C-C1 C-C2 E-D1 E-O1 E-O2 I-A1 I-A2 M-C1 M-C2 M-T1 M-T2 P-P1 P-P2  _O_ *ED2 <-- classified as
      +-----------------------------------------------------------------------------------------------+ -SUM- skip ACTUAL
 C-E1 | 127    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    5    0 |  133    0  133
 C-E2 |   2  181    0    0    0    0    0    5    0    1    0    0    0    0    1    4    0   10    0 |  204    0  204
 C-W1 |   0    0  137    3    0    0    1    1    0    0    0    0    1    0    0    1    0   16    0 |  160    0  160
 C-W2 |   0    0    2  111    0    3    0    0    0    0    5    0    2    1    0    0    0   15    0 |  139    0  139
 C-C1 |   0    0    2    0  139    0    9    1    0    0    0    0    0    0    0    0    0   25    0 |  176    0  176
 C-C2 |   0    0    1    2    1   32    0    0    0    0    0    0    0    0    0    0    2    2    1 |   41    0   41
 E-D1 |   0    0    0    1    7    0  270    2    0    0    1    1    0    1    0    0    1   26    0 |  310    0  310
 E-O1 |   0    4    0    1    1    0    1  190    0    0    1    1    0    1    1    5    1   33    0 |  240    0  240
 E-O2 |   0    0    0    1    0    1    0    1   40    0    0    0    0    0    0    0    0    3    0 |   46    0   46
 I-A1 |   1    0    3    0    0    0    0    0    0   15    0    0    0    0    0    0    0    5    0 |   24    0   24
 I-A2 |   0    0    2    9    0    0    0    1    1    1  104    1    0    0    0    0    6   22    0 |  147    0  147
 M-C1 |   0    0    2    0    0    0    0    0    0    0    0   24    0    0    0    0    0    7    0 |   33    0   33
 M-C2 |   0    0    4    5    0    1    0    0    0    0    0    0  194    1    0    0    0   34    0 |  239    0  239
 M-T1 |   1    0    0    4    0    0    1    1    0    0    3    0    1  197    1    1    2   31    0 |  243    0  243
 M-T2 |   0    0    0    0    0    0    0    0    0    0    0    1    0    1   43    0    1    7    0 |   53    0   53
 P-P1 |   0    4    0    1    0    0    0    3    0    2    1    0    1    0    0   95    0   16    0 |  123    0  123
 P-P2 |   1    0    1    2    0    0    1    0    4    0    8    1    1    0    1    1  105   12    0 |  138    0  138
  _O_ |   2    5    8   10    5    2    8    6    1    3   11    3    1    8    4    1    5  185    0 |  268    0  268
      +-----------------------------------------------------------------------------------------------+
 -SUM-  134  194  162  150  153   39  291  211   47   22  134   32  201  210   51  108  123  454    1   2717    0 2717

Coverage = 2717/2717 = 100.00%
Accuracy (calculated for the above confusion matrix) = 2189/2717 = 80.57%
Accuracy (considering all skipped examples as Wrong) = 2189/2717 = 80.57%
Accuracy (considering all skipped examples as Other) = 2189/2717 = 80.57%

Results for the individual relations:
      Cause-Effect(e1,e2) :    P =  127/ 134 =  94.78%     R =  127/ 133 =  95.49%     F1 =  95.13%
      Cause-Effect(e2,e1) :    P =  181/ 194 =  93.30%     R =  181/ 204 =  88.73%     F1 =  90.95%
   Component-Whole(e1,e2) :    P =  137/ 162 =  84.57%     R =  137/ 160 =  85.62%     F1 =  85.09%
   Component-Whole(e2,e1) :    P =  111/ 150 =  74.00%     R =  111/ 139 =  79.86%     F1 =  76.82%
 Content-Container(e1,e2) :    P =  139/ 153 =  90.85%     R =  139/ 176 =  78.98%     F1 =  84.50%
 Content-Container(e2,e1) :    P =   32/  39 =  82.05%     R =   32/  41 =  78.05%     F1 =  80.00%
Entity-Destination(e1,e2) :    P =  270/ 291 =  92.78%     R =  270/ 310 =  87.10%     F1 =  89.85%
     Entity-Origin(e1,e2) :    P =  190/ 211 =  90.05%     R =  190/ 240 =  79.17%     F1 =  84.26%
     Entity-Origin(e2,e1) :    P =   40/  47 =  85.11%     R =   40/  46 =  86.96%     F1 =  86.02%
 Instrument-Agency(e1,e2) :    P =   15/  22 =  68.18%     R =   15/  24 =  62.50%     F1 =  65.22%
 Instrument-Agency(e2,e1) :    P =  104/ 134 =  77.61%     R =  104/ 147 =  70.75%     F1 =  74.02%
 Member-Collection(e1,e2) :    P =   24/  32 =  75.00%     R =   24/  33 =  72.73%     F1 =  73.85%
 Member-Collection(e2,e1) :    P =  194/ 201 =  96.52%     R =  194/ 239 =  81.17%     F1 =  88.18%
     Message-Topic(e1,e2) :    P =  197/ 210 =  93.81%     R =  197/ 243 =  81.07%     F1 =  86.98%
     Message-Topic(e2,e1) :    P =   43/  51 =  84.31%     R =   43/  53 =  81.13%     F1 =  82.69%
  Product-Producer(e1,e2) :    P =   95/ 108 =  87.96%     R =   95/ 123 =  77.24%     F1 =  82.25%
  Product-Producer(e2,e1) :    P =  105/ 123 =  85.37%     R =  105/ 138 =  76.09%     F1 =  80.46%
                   _Other :    P =  185/ 454 =  40.75%     R =  185/ 268 =  69.03%     F1 =  51.25%

Micro-averaged result (excluding Other):
P = 2004/2262 =  88.59%     R = 2004/2449 =  81.83%     F1 =  85.08%

MACRO-averaged result (excluding Other):
P =  85.66%	R =  80.15%	F1 =  82.72%



<<< (9+1)-WAY EVALUATION IGNORING DIRECTIONALITY >>>:

Confusion matrix:
         C-E  C-W  C-C  E-D  E-O  I-A  M-C  M-T  P-P  _O_ <-- classified as
      +--------------------------------------------------+ -SUM- skip ACTUAL
  C-E | 310    0    0    0    6    1    0    1    4   15 |  337    0  337
  C-W |   0  253    3    1    1    5    3    1    1   31 |  299    0  299
  C-C |   0    5  172   10    1    0    0    0    2   27 |  217    0  217
  E-D |   0    1    7  270    2    1    1    1    1   26 |  310    0  310
  E-O |   4    2    2    1  231    1    1    2    6   36 |  286    0  286
  I-A |   1   14    0    0    2  120    1    0    6   27 |  171    0  171
  M-C |   0   11    1    0    0    0  218    1    0   41 |  272    0  272
  M-T |   1    4    0    1    1    3    2  242    4   38 |  296    0  296
  P-P |   5    4    0    1    7   11    3    1  201   28 |  261    0  261
  _O_ |   7   18    7    8    7   14    4   12    6  185 |  268    0  268
      +--------------------------------------------------+
 -SUM-  328  312  192  292  258  156  233  261  231  454   2717    0 2717

Coverage = 2717/2717 = 100.00%
Accuracy (calculated for the above confusion matrix) = 2202/2717 = 81.05%
Accuracy (considering all skipped examples as Wrong) = 2202/2717 = 81.05%
Accuracy (considering all skipped examples as Other) = 2202/2717 = 81.05%

Results for the individual relations:
             Cause-Effect :    P =  310/ 328 =  94.51%     R =  310/ 337 =  91.99%     F1 =  93.23%
          Component-Whole :    P =  253/ 312 =  81.09%     R =  253/ 299 =  84.62%     F1 =  82.82%
        Content-Container :    P =  172/ 192 =  89.58%     R =  172/ 217 =  79.26%     F1 =  84.11%
       Entity-Destination :    P =  270/ 292 =  92.47%     R =  270/ 310 =  87.10%     F1 =  89.70%
            Entity-Origin :    P =  231/ 258 =  89.53%     R =  231/ 286 =  80.77%     F1 =  84.93%
        Instrument-Agency :    P =  120/ 156 =  76.92%     R =  120/ 171 =  70.18%     F1 =  73.39%
        Member-Collection :    P =  218/ 233 =  93.56%     R =  218/ 272 =  80.15%     F1 =  86.34%
            Message-Topic :    P =  242/ 261 =  92.72%     R =  242/ 296 =  81.76%     F1 =  86.89%
         Product-Producer :    P =  201/ 231 =  87.01%     R =  201/ 261 =  77.01%     F1 =  81.71%
                   _Other :    P =  185/ 454 =  40.75%     R =  185/ 268 =  69.03%     F1 =  51.25%

Micro-averaged result (excluding Other):
P = 2017/2263 =  89.13%     R = 2017/2449 =  82.36%     F1 =  85.61%

MACRO-averaged result (excluding Other):
P =  88.60%	R =  81.42%	F1 =  84.79%



<<< (9+1)-WAY EVALUATION TAKING DIRECTIONALITY INTO ACCOUNT -- OFFICIAL >>>:

Confusion matrix:
         C-E  C-W  C-C  E-D  E-O  I-A  M-C  M-T  P-P  _O_ <-- classified as
      +--------------------------------------------------+ -SUM- xDIRx skip  ACTUAL
  C-E | 308    0    0    0    6    1    0    1    4   15 |  335     2     0    337
  C-W |   0  248    3    1    1    5    3    1    1   31 |  294     5     0    299
  C-C |   0    5  171   10    1    0    0    0    2   27 |  216     1     0    217
  E-D |   0    1    7  270    2    1    1    1    1   26 |  310     0     0    310
  E-O |   4    2    2    1  230    1    1    2    6   36 |  285     1     0    286
  I-A |   1   14    0    0    2  119    1    0    6   27 |  170     1     0    171
  M-C |   0   11    1    0    0    0  218    1    0   41 |  272     0     0    272
  M-T |   1    4    0    1    1    3    2  240    4   38 |  294     2     0    296
  P-P |   5    4    0    1    7   11    3    1  200   28 |  260     1     0    261
  _O_ |   7   18    7    8    7   14    4   12    6  185 |  268     0     0    268
      +--------------------------------------------------+
 -SUM-  326  307  191  292  257  155  233  259  230  454   2704    13     0   2717

Coverage = 2717/2717 = 100.00%
Accuracy (calculated for the above confusion matrix) = 2189/2717 = 80.57%
Accuracy (considering all skipped examples as Wrong) = 2189/2717 = 80.57%
Accuracy (considering all skipped examples as Other) = 2189/2717 = 80.57%

Results for the individual relations:
             Cause-Effect :    P =  308/( 326 +   2) =  93.90%     R =  308/ 337 =  91.39%     F1 =  92.63%
          Component-Whole :    P =  248/( 307 +   5) =  79.49%     R =  248/ 299 =  82.94%     F1 =  81.18%
        Content-Container :    P =  171/( 191 +   1) =  89.06%     R =  171/ 217 =  78.80%     F1 =  83.62%
       Entity-Destination :    P =  270/( 292 +   0) =  92.47%     R =  270/ 310 =  87.10%     F1 =  89.70%
            Entity-Origin :    P =  230/( 257 +   1) =  89.15%     R =  230/ 286 =  80.42%     F1 =  84.56%
        Instrument-Agency :    P =  119/( 155 +   1) =  76.28%     R =  119/ 171 =  69.59%     F1 =  72.78%
        Member-Collection :    P =  218/( 233 +   0) =  93.56%     R =  218/ 272 =  80.15%     F1 =  86.34%
            Message-Topic :    P =  240/( 259 +   2) =  91.95%     R =  240/ 296 =  81.08%     F1 =  86.18%
         Product-Producer :    P =  200/( 230 +   1) =  86.58%     R =  200/ 261 =  76.63%     F1 =  81.30%
                   _Other :    P =  185/( 454 +   0) =  40.75%     R =  185/ 268 =  69.03%     F1 =  51.25%

Micro-averaged result (excluding Other):
P = 2004/2263 =  88.56%     R = 2004/2449 =  81.83%     F1 =  85.06%

MACRO-averaged result (excluding Other):
P =  88.05%	R =  80.90%	F1 =  84.25%



<<< The official score is (9+1)-way evaluation with directionality taken
 into account: macro-averaged F1 = 84.25% >>>
